,game_date,season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_capacity,stadium_latitude,stadium_longitude,stadium_elevation,stadium_neutral,weather_temperature,wind_mph,indoor,precipitation,point_differential,total_points_scored,home_favorite,away_favorite,total_result,result,cover_result,team_favored_id_int,spread_category
13,9/11/16,2016,1,6,1:00 PM,0,0,TEN,16,25,MIN,MIN,-2.5,40,Nissan Stadium,"Nashville, Tennessee","69,143",36.166389,-86.771389,430,0,77,3,0,,-9,41,0,1,1,0,0,21,Low Spread
14,9/12/16,2016,1,0,10:30 PM,1,0,SF,28,0,LAR,LAR,-2.5,43.5,Levi's Stadium,"Santa Clara, California","68,500",37.403,-121.97,17,0,66,17,0,,28,28,0,1,0,1,1,18,Low Spread
15,9/12/16,2016,1,0,7:00 PM,1,0,WAS,16,38,PIT,PIT,-2.5,49,FedEx Field,"Landover, Maryland","79,000",38.907778,-76.864444,265,0,76,3,0,,-22,54,0,1,1,0,0,28,Low Spread
16,9/15/16,2016,2,3,8:30 PM,1,0,BUF,31,37,NYJ,PICK,0,40.5,New Era Field,"Orchard Park, New York","73,967",42.889,-78.8901,178,0,54,2,0,,-6,68,0,0,1,0,0,27,Low Spread
17,9/18/16,2016,2,6,1:00 PM,0,0,ARI,40,7,TB,ARI,-7,49.5,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068,0,72,0,1,,33,47,1,0,0,1,1,1,Medium Spread
18,9/18/16,2016,2,6,1:00 PM,0,0,CAR,46,27,SF,CAR,-12.5,44,Bank of America Stadium,"Charlotte, North Carolina","73,778",35.225833,-80.852778,751,0,85,3,0,,19,73,1,0,1,1,1,5,High Spread
19,9/18/16,2016,2,6,1:00 PM,0,0,CLE,20,25,BAL,BAL,-4.5,42,FirstEnergy Stadium,"Cleveland, Ohio","68,000",41.506111,-81.699444,584,0,75,5,0,,-5,45,0,1,1,0,0,3,Medium Spread
20,9/18/16,2016,2,6,4:30 PM,0,0,DEN,34,20,IND,DEN,-6,47,Empower Field at Mile High,"Denver, Colorado","76,125",39.743889,-105.02,5280,0,86,1,0,,14,54,1,0,1,1,1,10,Medium Spread
21,9/18/16,2016,2,6,1:00 PM,0,0,DET,15,16,TEN,DET,-6,48,Ford Field,"Detroit, Michigan","65,000",42.34,-83.045556,581,0,72,0,1,,-1,31,1,0,0,0,0,11,Medium Spread
22,9/18/16,2016,2,6,1:00 PM,0,0,HOU,19,12,KC,HOU,-1,42,NRG Stadium,"Houston, Texas","71,500",29.684722,-95.410833,43,0,72,0,1,,7,31,1,0,0,1,1,13,Low Spread
23,9/18/16,2016,2,6,4:00 PM,0,0,LAR,9,3,SEA,SEA,-5.5,38,Los Angeles Memorial Coliseum,"Los Angeles, California","93,605",34.014167,-118.287778,185,0,85,4,0,,6,12,0,1,0,1,1,29,Medium Spread
24,9/18/16,2016,2,6,8:30 PM,1,0,MIN,17,14,GB,GB,-2,43,U.S. Bank Stadium,"Minneapolis, Minnesota","66,200",44.973889,-93.258056,840,0,72,0,1,,3,31,0,1,0,1,1,12,Low Spread
25,9/18/16,2016,2,6,1:00 PM,0,0,NE,31,24,MIA,NE,-5.5,42,Gillette Stadium,"Foxboro, Massachusetts","68,756",42.091,-71.264,289,0,78,6,0,,7,55,1,0,1,1,1,22,Medium Spread
