,season,week,primetime,playoff_game,score_home,score_away,point_spread,total_line,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,result,cover_result,total_result,winner_id,loser_id,cover_map,clusters,cluster
55,2016,4,0,0,0,16,-3.5,41.0,0,56,2,0,-16,16,1,0,0,0,4,22,4,1,purple
56,2016,4,0,0,17,27,-1.0,40.0,0,61,0,0,-10,44,0,0,0,1,28,25,28,1,purple
57,2016,4,1,0,43,14,-3.5,48.5,0,60,0,0,29,57,1,1,1,1,27,16,27,2,blue
58,2016,4,0,0,34,35,-3.5,54.0,0,73,6,0,-1,69,1,0,0,1,23,17,23,2,blue
59,2016,4,0,0,17,24,-1.0,44.0,0,68,8,0,-7,41,0,0,0,0,9,29,9,1,purple
60,2016,4,0,0,7,27,-3.0,42.5,0,89,4,0,-20,34,0,0,0,0,10,30,10,1,purple
61,2016,4,0,0,31,20,-7.5,47.5,0,70,1,0,11,51,1,1,1,1,32,8,32,2,blue
62,2016,4,1,0,24,10,-3.5,42.5,0,72,0,1,14,34,1,1,1,0,21,24,21,1,purple
63,2016,5,1,0,21,33,-3.5,42.5,0,72,7,0,-12,54,0,0,0,1,1,29,1,1,purple
64,2016,5,0,0,10,16,-4.0,44.5,0,61,12,0,-6,26,1,0,0,0,32,3,32,1,purple
65,2016,5,0,0,13,33,-10.0,47.5,0,57,9,0,-20,46,0,0,0,0,22,8,22,1,purple
66,2016,5,0,0,28,14,-2.5,46.0,0,72,0,1,14,42,0,1,1,0,9,7,9,2,blue
67,2016,5,0,0,16,23,-3.5,44.5,0,73,1,0,-7,39,1,0,0,0,2,10,2,1,purple
68,2016,5,0,0,24,23,-3.5,46.0,0,72,0,1,1,47,0,1,1,1,11,26,11,1,purple
69,2016,5,1,0,23,16,-7.0,49.0,0,48,2,0,7,39,1,1,2,0,12,24,0,0,pink
70,2016,5,0,0,29,23,-4.0,47.5,0,72,0,1,6,52,1,1,1,1,14,6,14,2,blue
71,2016,5,0,0,19,30,-2.5,41.5,0,87,5,0,-11,49,0,0,0,1,4,18,4,1,purple
72,2016,5,0,0,17,30,-2.5,44.5,0,87,12,0,-13,47,1,0,0,1,31,20,31,1,purple
73,2016,5,0,0,31,13,-6.0,39.0,0,72,0,1,18,44,1,1,1,1,21,13,21,2,blue
74,2016,5,0,0,34,31,-3.5,50.5,0,78,4,0,3,65,1,1,0,1,19,17,17,2,blue
75,2016,5,0,0,31,13,-10.0,50.0,0,57,6,0,18,44,1,1,1,0,27,25,27,2,blue
76,2016,5,1,0,14,17,-6.0,46.5,0,57,2,0,-3,31,1,0,0,0,30,5,30,1,purple
77,2016,6,1,0,21,13,-3.0,44.0,0,69,6,0,8,34,0,1,1,0,17,10,17,1,purple
78,2016,6,0,0,45,16,-7.5,44.0,0,72,9,0,29,61,1,1,1,1,4,29,4,2,blue
79,2016,6,0,0,16,17,-2.5,46.0,0,67,3,0,-1,33,1,0,0,0,15,6,15,1,purple
80,2016,6,0,0,31,28,-2.5,44.0,0,72,0,1,3,59,1,1,1,1,11,18,11,2,blue
81,2016,6,0,0,16,30,-5.0,47.0,0,67,4,0,-14,46,1,0,0,0,9,12,9,1,purple
82,2016,6,1,0,26,23,-3.0,47.5,0,72,0,1,3,49,1,1,2,1,13,14,0,2,blue
83,2016,6,0,0,30,15,-7.5,49.5,0,82,11,0,15,45,0,1,1,0,20,27,20,2,blue
84,2016,6,0,0,35,17,-7.5,48.0,0,66,7,0,18,52,1,1,1,1,22,7,22,2,blue
85,2016,6,0,0,41,38,-2.5,53.5,0,72,0,1,3,79,0,1,1,1,23,5,23,2,blue
86,2016,6,0,0,27,23,-3.5,42.5,0,66,6,0,4,50,1,1,1,1,24,3,24,2,blue
87,2016,6,0,0,10,26,-1.0,46.5,0,61,5,0,-16,36,0,0,0,0,16,19,16,1,purple
88,2016,6,0,0,26,24,-7.0,45.5,0,54,5,0,2,50,1,1,0,1,28,2,2,0,pink
89,2016,6,0,0,28,26,-7.5,44.5,0,79,7,0,2,54,1,1,0,1,31,8,8,2,blue
90,2016,6,0,0,27,20,-3.0,45.0,0,69,5,0,7,47,0,1,1,1,32,26,32,2,blue
91,2016,6,1,0,28,3,-7.0,45.5,0,72,0,1,25,31,1,1,1,0,1,25,1,2,blue
92,2016,7,1,0,26,10,-7.5,46.5,0,47,3,0,16,36,1,1,1,0,12,6,12,0,pink
93,2016,7,1,0,6,6,-2.5,43.0,0,72,0,1,0,12,1,0,0,0,0,0,28,1,purple
94,2016,7,0,0,30,33,-4.5,52.5,0,72,0,1,-3,63,1,0,0,1,17,2,17,2,blue
95,2016,7,0,0,31,17,-11.0,46.5,0,66,6,0,14,48,1,1,1,1,7,8,7,2,blue
96,2016,7,0,0,20,17,-1.0,50.0,0,72,0,1,3,37,0,1,1,0,11,32,11,1,purple
97,2016,7,0,0,16,33,-2.0,47.5,0,72,5,0,-17,49,1,0,0,1,19,15,19,1,purple
98,2016,7,0,0,27,21,-7.0,51.5,0,69,6,0,6,48,1,1,0,0,16,23,23,2,blue
99,2016,7,0,0,10,17,-2.5,44.5,1,54,10,0,-7,27,0,0,0,0,24,18,24,1,purple
100,2016,7,0,0,28,25,-2.5,46.0,0,80,10,0,3,53,0,1,1,1,20,4,20,2,blue
101,2016,7,0,0,24,16,-2.5,40.0,0,58,11,0,8,40,1,1,1,2,25,3,25,0,pink
102,2016,7,0,0,21,10,-3.0,39.0,0,61,10,0,11,31,0,1,1,0,26,21,26,0,pink
103,2016,7,0,0,16,27,-7.5,49.0,0,63,6,0,-11,43,0,0,0,0,22,27,22,1,purple
104,2016,7,0,0,17,34,-1.0,45.0,0,69,2,0,-17,51,1,0,0,1,30,29,30,1,purple
